address,year,day,length,weight,count,looped,neighbors,income,label
111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,2017,11,18,0.00833333333333333,1,0,2,100050000,princetonCerber
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,2016,132,44,0.000244140625,1,0,1,100000000,princetonLocky
112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,2016,246,0,1,1,0,2,200000000,princetonCerber
1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,2016,322,72,0.00390625,1,0,2,71200000,princetonCerber
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,2016,238,144,0.0728484071989931,456,0,1,200000000,princetonLocky
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,2016,96,144,0.0846139993386755,2821,0,1,50000000,princetonLocky
112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,2016,225,142,0.0020885186101272,881,0,2,100000000,princetonCerber
112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,2016,324,78,0.00390625,1,0,2,100990000,princetonCerber
112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,2016,298,144,2.3028283088657,4220,0,2,80000000,princetonCerber
112GocBgFSnaote6krx828qaockFraD8mp,2016,62,112,3.72529029846191E-09,1,0,1,50000000,princetonLocky
112gXL4AeJ62DX3htuLhBc3MtY5U6X5J28,2013,317,4,0.00714285714285714,2,0,1,100000000,montrealCryptoLocker
112nEBUadWiMxzUUASNZpQ9AvePtrJVuca,2016,247,0,1,1,0,2,108560000,princetonCerber
112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,2016,146,144,0.877484787195917,4817,0,1,104020000,montrealCryptXXX
112vq2Wt7Mo8RD5jCKMR2PFNxAoT17ffxD,2017,3,4,0.015625,1,0,2,56000000,princetonCerber
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,158,56,0.000030517578125,1,0,1,120000000,montrealCryptXXX
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,156,8,0.75,2,0,4,240000000,montrealCryptXXX
112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,2016,273,144,0.00874675210903953,1168,0,1,550000000,princetonLocky
1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,2016,56,4,0.145833333333333,4,0,1,500000000,princetonLocky
1132fapAqQVQJjZipWzJPKYxF4LNSDEvuc,2016,165,10,0.0119047619047619,1,0,2,200000000,princetonCerber
1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,2016,109,0,0.5,1,0,1,101000000,princetonLocky
11382a48qWatCiSqVNBFzuKN91M7Dcdev,2016,79,2,0.25,1,0,1,50000000,princetonLocky
